ID,Workclass,Education,Education num,Marital status,Occupation,Relationship,Race,Sex,Age,Work hours per week,Native country,Income
1,?,HS-grad,9,Widowed,?,Not-in-family,White,Female,90,40,New Zealand,<=85K
2,Private,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,82,18,New Zealand,<=85K
3,?,Some-college,10,Widowed,?,Unmarried,Black,Female,66,40,New Zealand,<=85K
4,Private,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,54,40,New Zealand,<=85K
5,Private,Some-college,10,Separated,Prof-specialty,Own-child,White,Female,41,40,New Zealand,<=85K
6,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,34,45,New Zealand,<=85K
7,Private,10th,6,Separated,Adm-clerical,Unmarried,White,Male,38,40,New Zealand,<=85K
8,Government,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,74,20,New Zealand,>85K
9,Government,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,68,40,New Zealand,<=85K
10,Private,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,41,60,?,>85K
11,Private,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,45,35,New Zealand,>85K
12,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,38,45,New Zealand,>85K
13,Private,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,52,20,New Zealand,>85K
14,Private,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,32,55,New Zealand,>85K
15,?,Doctorate,16,Never-married,?,Not-in-family,White,Male,51,40,New Zealand,>85K
16,Private,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,46,40,New Zealand,>85K
17,Private,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,45,76,New Zealand,>85K
18,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,57,50,New Zealand,>85K
19,Private,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,22,40,?,>85K
20,Private,Bachelors,13,Separated,Sales,Not-in-family,White,Male,34,50,New Zealand,>85K
21,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,37,40,New Zealand,>85K
22,Private,11th,7,Separated,Sales,Not-in-family,White,Female,29,42,New Zealand,<=85K
23,Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,61,25,New Zealand,<=85K
24,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,51,40,New Zealand,<=85K
25,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,61,32,New Zealand,<=85K
26,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,21,40,New Zealand,<=85K
27,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,33,32,Mexico,<=85K
28,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,49,40,Greece,<=85K
29,Self-emp-inc,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,37,50,New Zealand,>85K
30,Private,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,38,90,New Zealand,>85K
31,Private,Some-college,10,Separated,Other-service,Not-in-family,White,Male,23,40,New Zealand,>85K
32,Self-emp-inc,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,59,50,New Zealand,>85K
33,Private,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,52,60,New Zealand,>85K
34,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,51,50,New Zealand,>85K
35,Self-emp-not-inc,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,60,50,New Zealand,>85K
36,Government,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,63,60,New Zealand,>85K
37,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,53,48,New Zealand,>85K
38,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,51,50,New Zealand,>85K
39,Self-emp-not-inc,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,37,60,New Zealand,>85K
40,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,54,40,New Zealand,>85K
41,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,44,50,New Zealand,>85K
42,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,43,40,New Zealand,>85K
43,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,51,40,New Zealand,>85K
44,Private,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,43,40,New Zealand,>85K
45,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,71,15,New Zealand,<=85K
46,Private,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,48,70,New Zealand,>85K
47,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,71,52,New Zealand,<=85K
48,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,73,40,Vietnam,<=85K
49,?,Some-college,10,Married-civ-spouse,?,Wife,White,Female,68,40,New Zealand,<=85K
50,?,Some-college,10,Married-civ-spouse,?,Husband,White,Male,67,40,New Zealand,<=85K
51,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,40,45,New Zealand,>85K
52,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,50,72,New Zealand,>85K
53,Government,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,51,39,New Zealand,>85K
